pair_id,moral_text,582_9_high_output_neutral_act,582_9_high_output_moral_act,difference
0,He wanted to demonstrate integrity in his dealings. He disclosed the product defect to the customer.,-0.1025232822,0.00448003877,0.1070033209
1,She aimed to embody patience in her interactions. She waited while the elderly man counted his change.,-0.1291655749,0.09967203438,0.2288376093
2,He sought to be someone who shows genuine appreciation. He thanked the janitor for cleaning the office.,-0.113718532,0.4164867401,0.5302052721
3,She wanted to act with the grace she admired in others. She accepted the criticism without arguing.,-0.05826509744,0.4115583301,0.4698234275
4,He aimed to be a person of his word. He arrived at the appointment on time.,-0.1153381914,0.05018189549,0.1655200869
5,She sought to embody thoughtfulness in her actions. She brought soup to her sick neighbor.,-0.1194929257,0.1008916125,0.2203845382
6,He wanted to be someone who acts with courage. He reported the safety violation to management.,-0.1058076918,0.4475877583,0.5533954501
7,She aimed to show the kindness she valued. She helped the new student find the classroom.,-0.1064272895,0.2263380885,0.3327653781
8,He sought to demonstrate reliability as a colleague. He completed the project before leaving for vacation.,-0.0874433592,-0.05107846856,0.03636489064
9,She wanted to be someone who shows respect. She listened to her grandmother's story again.,-0.09453371912,0.3878002167,0.4823339358
10,He aimed to act with the honesty he prized. He admitted his mistake in the calculation.,-0.129390955,0.2033401281,0.332731083
11,She sought to embody fairness in her decisions. She divided the bonus equally among team members.,-0.06827739626,0.01872107759,0.08699847385
12,He wanted to be someone who shows humility. He acknowledged his colleague's contribution to the project.,-0.05821892247,0.3698894978,0.4281084202
13,She aimed to demonstrate the generosity she admired. She shared her lunch with the forgotten student.,-0.110381864,0.09403157234,0.2044134364
14,He sought to be a person of compassion. He visited his friend in the hospital.,-0.08129532635,0.1482691169,0.2295644432
15,She wanted to show the perseverance she valued. She continued practicing despite the setbacks.,-0.1175920293,0.2495182157,0.3671102449
16,He aimed to embody trustworthiness in his role. He kept the confidential information private.,-0.08917661011,0.1685127914,0.2576894015
17,She sought to act with the dignity she respected. She dressed professionally for the interview.,-0.1118212268,0.1846044064,0.2964256331
18,He wanted to be someone who takes responsibility. He cleaned up after the party.,-0.1318567842,0.2177615464,0.3496183306
19,She aimed to show the loyalty she cherished. She defended her friend's reputation.,-0.09919267148,0.1802084297,0.2794011012
20,He sought to demonstrate wisdom in his choices. He researched thoroughly before investing.,-0.07827719301,-0.05886687711,0.0194103159
21,She wanted to embody graciousness in defeat. She congratulated her opponent after losing.,-0.1453440189,0.1229985356,0.2683425546
22,He aimed to be someone who shows initiative. He organized the community cleanup event.,-0.1158915311,0.294488132,0.4103796631
23,She sought to act with the authenticity she valued. She expressed her true opinion in the meeting.,-0.05721945688,0.1651607007,0.2223801576
24,He wanted to demonstrate consideration for others. He lowered his music volume at night.,-0.08060577512,0.01454791613,0.09515369125
25,She aimed to embody dedication in her work. She stayed late to finish the report.,-0.08804062009,0.1078141034,0.1958547235
26,He sought to be someone who shows restraint. He declined the third drink at dinner.,-0.08356986195,0.322093904,0.405663766
27,She wanted to act with the empathy she admired. She comforted the crying child.,-0.1031017452,0.3484335542,0.4515352994
28,He aimed to demonstrate accountability in his actions. He apologized for the misunderstanding.,-0.09453100711,0.03497321904,0.1295042261
29,She sought to embody openness in her relationships. She shared her concerns with her partner.,-0.05942367017,0.129912883,0.1893365532
30,He wanted to be someone who shows gratitude. He wrote thank-you notes after the wedding.,-0.1322655827,0.2543569207,0.3866225034
31,She aimed to act with the prudence she respected. She saved money each month.,-0.09735909104,0.2922655642,0.3896246552
32,He sought to demonstrate sincerity in his words. He gave honest feedback on the proposal.,-0.1224367619,-0.01968876272,0.1027479991
33,She wanted to embody resilience in adversity. She reapplied after the rejection.,-0.06794793904,0.04595653713,0.1139044762
34,He aimed to be someone who keeps commitments. He attended the reunion despite the distance.,-0.08425091207,0.0350593999,0.119310312
35,She sought to show the understanding she valued. She gave her teenager space after the argument.,-0.1300853491,0.08443871886,0.2145240679
36,He wanted to act with the maturity he aspired to. He accepted the constructive feedback gracefully.,-0.06430608034,0.3663664758,0.4306725562
37,She aimed to demonstrate enthusiasm in her teaching. She prepared creative lessons for her students.,-0.1065256074,0.04360426962,0.150129877
38,He sought to embody diligence in his studies. He reviewed his notes before the exam.,-0.1306511164,0.07940610498,0.2100572214
39,She wanted to be someone who shows tact. She chose her words carefully during the dispute.,-0.09499853104,0.3509789407,0.4459774718
40,He aimed to act with the independence he prized. He made his own decision about the job offer.,-0.1156595871,-0.01939046755,0.09626911953
41,She sought to demonstrate flexibility in her thinking. She reconsidered her initial position.,-0.1236009151,-0.07316031307,0.050440602
42,He wanted to embody attentiveness in his relationships. He remembered his wife's presentation date.,-0.112468563,0.304246366,0.416714929
43,She aimed to be someone who shows discipline. She maintained her exercise routine.,-0.06253124028,0.5387382507,0.601269491
44,He sought to act with the courtesy he admired. He held the elevator for the rushing colleague.,-0.1048910692,0.3104586005,0.4153496698
45,She wanted to demonstrate resourcefulness in challenges. She found creative solutions to the budget cuts.,-0.08991274983,0.043711707,0.1336244568
46,He aimed to embody tolerance in disagreements. He listened to the opposing viewpoint.,-0.1064476743,0.1912105381,0.2976582125
47,She sought to be someone who shows resolve. She pursued her degree despite obstacles.,-0.1066369936,0.3500824571,0.4567194507
48,He wanted to act with the gentleness he valued. He spoke softly to the frightened animal.,-0.08731222153,0.5264061689,0.6137183905
49,She aimed to demonstrate leadership through example. She arrived first to set up the venue.,-0.1318790615,0.1720518321,0.3039308935
50,He sought to embody mindfulness in his daily life. He ate his meals without distractions.,-0.07371114939,0.0304901395,0.1042012889
51,She wanted to be someone who shows persistence. She submitted her manuscript again.,-0.1067781597,0.343839705,0.4506178647
52,He aimed to act with the modesty he respected. He downplayed his role in the success.,-0.1439626068,0.1592911035,0.3032537103
