pair_id,context_type,predicted_answer,correct_answer,is_correct,logprob_a,logprob_b,logprob_diff,group
0,moral,option_a,option_a,True,-0.21439078450202942,-2.142697334289551,1.9283065497875214,baseline
0,neutral,option_a,option_a,True,-0.18671126663684845,-2.2899065017700195,2.103195235133171,baseline
1,moral,option_a,option_a,True,-0.21441127359867096,-2.2546257972717285,2.0402145236730576,baseline
1,neutral,option_a,option_a,True,-0.21291399002075195,-2.2575459480285645,2.0446319580078125,baseline
2,moral,option_a,option_a,True,-0.23626066744327545,-2.1350033283233643,1.8987426608800888,baseline
2,neutral,option_a,option_a,True,-0.20010843873023987,-2.3343095779418945,2.1342011392116547,baseline
3,moral,option_a,option_a,True,-0.18023057281970978,-2.2548842430114746,2.074653670191765,baseline
3,neutral,option_a,option_a,True,-0.1862417459487915,-2.338074207305908,2.1518324613571167,baseline
4,moral,option_a,option_a,True,-0.1886727213859558,-2.3260438442230225,2.1373711228370667,baseline
4,neutral,option_a,option_a,True,-0.1939830332994461,-2.3284168243408203,2.134433791041374,baseline
5,moral,option_a,option_a,True,-0.21293672919273376,-2.221580743789673,2.008644014596939,baseline
5,neutral,option_a,option_a,True,-0.19120946526527405,-2.7994515895843506,2.6082421243190765,baseline
6,moral,option_a,option_a,True,-0.2002217322587967,-2.231220006942749,2.0309982746839523,baseline
6,neutral,option_a,option_a,True,-0.19012205302715302,-2.3911681175231934,2.2010460644960403,baseline
7,moral,option_a,option_a,True,-0.17149914801120758,-2.645933151245117,2.4744340032339096,baseline
7,neutral,option_a,option_a,True,-0.1842469573020935,-2.608769416809082,2.4245224595069885,baseline
8,moral,option_a,option_a,True,-0.19327375292778015,-2.136972665786743,1.943698912858963,baseline
8,neutral,option_a,option_a,True,-0.15431411564350128,-2.570425033569336,2.4161109179258347,baseline
9,moral,option_a,option_a,True,-0.19488213956356049,-2.520848035812378,2.3259658962488174,baseline
9,neutral,option_a,option_a,True,-0.203149676322937,-2.5945301055908203,2.3913804292678833,baseline
10,moral,option_a,option_a,True,-0.20494943857192993,-2.263413429260254,2.058463990688324,baseline
10,neutral,option_a,option_a,True,-0.1992725282907486,-2.158936023712158,1.9596634954214096,baseline
11,moral,option_a,option_a,True,-0.21875762939453125,-1.8939285278320312,1.6751708984375,baseline
11,neutral,option_a,option_a,True,-0.2017645239830017,-2.0544562339782715,1.8526917099952698,baseline
12,moral,option_a,option_a,True,-0.1647000014781952,-2.4049878120422363,2.240287810564041,baseline
12,neutral,option_a,option_a,True,-0.16912737488746643,-2.2767629623413086,2.107635587453842,baseline
13,moral,option_a,option_a,True,-0.20142024755477905,-2.2176098823547363,2.0161896347999573,baseline
13,neutral,option_a,option_a,True,-0.20847512781620026,-2.310617446899414,2.102142319083214,baseline
14,moral,option_a,option_a,True,-0.1865157186985016,-2.2871742248535156,2.100658506155014,baseline
14,neutral,option_a,option_a,True,-0.15072904527187347,-2.581068754196167,2.4303397089242935,baseline
15,moral,option_a,option_a,True,-0.18832223117351532,-2.2738020420074463,2.085479810833931,baseline
15,neutral,option_a,option_a,True,-0.1951671838760376,-2.2838664054870605,2.088699221611023,baseline
16,moral,option_a,option_a,True,-0.1861138939857483,-2.298098087310791,2.1119841933250427,baseline
16,neutral,option_a,option_a,True,-0.18858426809310913,-2.30385684967041,2.115272581577301,baseline
17,moral,option_a,option_a,True,-0.19635111093521118,-2.379876136779785,2.183525025844574,baseline
17,neutral,option_a,option_a,True,-0.18563786149024963,-2.6324191093444824,2.446781247854233,baseline
18,moral,option_a,option_a,True,-0.22144685685634613,-2.380744695663452,2.159297838807106,baseline
18,neutral,option_a,option_a,True,-0.21113468706607819,-2.55725359916687,2.346118912100792,baseline
19,moral,option_a,option_a,True,-0.19407916069030762,-2.58410906791687,2.3900299072265625,baseline
19,neutral,option_a,option_a,True,-0.17527981102466583,-2.741365671157837,2.566085860133171,baseline
20,moral,option_a,option_a,True,-0.1960831582546234,-1.9951249361038208,1.7990417778491974,baseline
20,neutral,option_a,option_a,True,-0.1778142899274826,-2.2946736812591553,2.1168593913316727,baseline
21,moral,option_a,option_a,True,-0.2414947748184204,-2.0762343406677246,1.8347395658493042,baseline
21,neutral,option_a,option_a,True,-0.20972363650798798,-2.4117729663848877,2.2020493298768997,baseline
22,moral,option_a,option_a,True,-0.17561759054660797,-2.4019665718078613,2.2263489812612534,baseline
22,neutral,option_a,option_a,True,-0.1742348074913025,-2.4342408180236816,2.260006010532379,baseline
23,moral,option_a,option_a,True,-0.20970015227794647,-2.178732395172119,1.9690322428941727,baseline
23,neutral,option_a,option_a,True,-0.20230919122695923,-2.2575459480285645,2.0552367568016052,baseline
24,moral,option_a,option_a,True,-0.18670789897441864,-2.432370662689209,2.2456627637147903,baseline
24,neutral,option_a,option_a,True,-0.18597078323364258,-2.58659029006958,2.4006195068359375,baseline
