pair_id,moral_text,neutral_text,1426_6_high_precision_neutral_act,1426_6_high_precision_moral_act,1426_6_high_precision_difference,1426_6_high_precision_cohens_d,1426_6_high_precision_type,625_10_high_precision_neutral_act,625_10_high_precision_moral_act,625_10_high_precision_difference,625_10_high_precision_cohens_d,625_10_high_precision_type,582_9_high_output_neutral_act,582_9_high_output_moral_act,582_9_high_output_difference,582_9_high_output_cohens_d,582_9_high_output_type,764_11_high_output_neutral_act,764_11_high_output_moral_act,764_11_high_output_difference,764_11_high_output_cohens_d,764_11_high_output_type
0,He wanted to demonstrate integrity in his dealings. He disclosed the product defect to the customer.,He noticed the warranty form required all known issues. He disclosed the product defect to the customer.,-0.08488120883703232,0.07021680474281311,0.15509801357984543,3.0,high_precision,-0.08196340501308441,0.10136598348617554,0.18332938849925995,2.97,high_precision,-0.10252328217029572,0.004480038769543171,0.10700332093983889,1.6,high_output,0.1462104320526123,0.5900717377662659,0.44386130571365356,1.43,high_output
1,She aimed to embody patience in her interactions. She waited while the elderly man counted his change.,She saw three people standing behind her in line. She waited while the elderly man counted his change.,-0.07220858335494995,0.07326749712228775,0.1454760804772377,,,-0.07125972211360931,0.005416713654994965,0.07667643576860428,,,-0.12916557490825653,0.09967203438282013,0.22883760929107666,,,0.7406384348869324,0.569449782371521,-0.17118865251541138,,
2,He sought to be someone who shows genuine appreciation. He thanked the janitor for cleaning the office.,He observed the janitor entering with cleaning supplies. He thanked the janitor for cleaning the office.,-0.09692889451980591,0.05290784686803818,0.14983674138784409,,,-0.10399740934371948,0.026993583887815475,0.13099099323153496,,,-0.11371853202581406,0.4164867401123047,0.5302052721381187,,,0.19956766068935394,0.6385405659675598,0.43897290527820587,,
3,She wanted to act with the grace she admired in others. She accepted the criticism without arguing.,She noticed the meeting agenda had moved to the next topic. She accepted the criticism without arguing.,0.018234962597489357,0.0911264568567276,0.07289149425923824,,,-0.10681349039077759,0.04520487040281296,0.15201836079359055,,,-0.05826509743928909,0.4115583300590515,0.4698234274983406,,,0.10830972343683243,0.7644195556640625,0.6561098322272301,,
4,He aimed to be a person of his word. He arrived at the appointment on time.,He saw the traffic was lighter than expected. He arrived at the appointment on time.,-0.10360541939735413,-0.020735712721943855,0.08286970667541027,,,0.0029990507755428553,-0.0025188641157001257,-0.005517914891242981,,,-0.11533819139003754,0.05018189549446106,0.1655200868844986,,,0.6181914210319519,0.7483830451965332,0.1301916241645813,,
5,She sought to embody thoughtfulness in her actions. She brought soup to her sick neighbor.,She had leftover containers from yesterday's cooking. She brought soup to her sick neighbor.,-0.09395025670528412,0.06948725879192352,0.16343751549720764,,,-0.07710583508014679,0.043957874178886414,0.1210637092590332,,,-0.11949292570352554,0.10089161247015,0.22038453817367554,,,0.0955040454864502,0.43885883688926697,0.3433547914028168,,
6,He wanted to be someone who acts with courage. He reported the safety violation to management.,He saw the inspection checklist on the wall. He reported the safety violation to management.,-0.10558606684207916,0.01850849948823452,0.12409456633031368,,,-0.0632450059056282,0.07556416094303131,0.13880916684865952,,,-0.10580769181251526,0.4475877583026886,0.5533954501152039,,,0.3799946904182434,0.8962229490280151,0.5162282586097717,,
7,She aimed to show the kindness she valued. She helped the new student find the classroom.,She noticed the room numbers were poorly marked. She helped the new student find the classroom.,-0.09928840398788452,-0.0011324286460876465,0.09815597534179688,,,-0.0943000316619873,0.017937829717993736,0.11223786137998104,,,-0.10642728954553604,0.22633808851242065,0.3327653780579567,,,0.24222855269908905,0.7440018653869629,0.5017733126878738,,
8,He sought to demonstrate reliability as a colleague. He completed the project before leaving for vacation.,He checked his calendar and saw his flight time. He completed the project before leaving for vacation.,-0.08708550035953522,0.05079832673072815,0.13788382709026337,,,-0.061335813254117966,0.07206476479768753,0.1334005780518055,,,-0.08744335919618607,-0.051078468561172485,0.03636489063501358,,,0.46019667387008667,0.5875265002250671,0.12732982635498047,,
9,She wanted to be someone who shows respect. She listened to her grandmother's story again.,She noticed the television remote was across the room. She listened to her grandmother's story again.,-0.10279995203018188,0.05325445905327797,0.15605441108345985,,,-0.1024426817893982,0.023993683978915215,0.1264363657683134,,,-0.09453371912240982,0.3878002166748047,0.4823339357972145,,,0.28692397475242615,0.9627041220664978,0.6757801473140717,,
10,He aimed to act with the honesty he prized. He admitted his mistake in the calculation.,He saw the error highlighted in the spreadsheet. He admitted his mistake in the calculation.,-0.07570059597492218,0.13114184141159058,0.20684243738651276,,,-0.0695853903889656,0.060636695474386215,0.13022208586335182,,,-0.12939095497131348,0.20334012806415558,0.33273108303546906,,,0.24328157305717468,0.6162412762641907,0.372959703207016,,
11,She sought to embody fairness in her decisions. She divided the bonus equally among team members.,She noticed the accounting software had an equal split function. She divided the bonus equally among team members.,-0.11140455305576324,0.02232840098440647,0.13373295404016972,,,-0.10571181029081345,0.020892774686217308,0.12660458497703075,,,-0.06827739626169205,0.0187210775911808,0.08699847385287285,,,0.08333601802587509,0.4210064709186554,0.3376704528927803,,
12,He wanted to be someone who shows humility. He acknowledged his colleague's contribution to the project.,He saw the colleague's name in the project files. He acknowledged his colleague's contribution to the project.,-0.11089828610420227,0.0015252291923388839,0.11242351529654115,,,-0.05297742784023285,0.0309788528829813,0.08395628072321415,,,-0.05821892246603966,0.369889497756958,0.42810842022299767,,,0.2682717442512512,0.7828923463821411,0.5146206021308899,,
13,She aimed to demonstrate the generosity she admired. She shared her lunch with the forgotten student.,She had packed two sandwiches this morning. She shared her lunch with the forgotten student.,-0.08930065482854843,-0.029146254062652588,0.060154400765895844,,,-0.08809421956539154,-0.03496628254652023,0.05312793701887131,,,-0.11038186401128769,0.09403157234191895,0.20441343635320663,,,0.037711724638938904,0.4662310481071472,0.4285193234682083,,
14,He sought to be a person of compassion. He visited his friend in the hospital.,He noticed the visiting hours posted on the website. He visited his friend in the hospital.,-0.10073233395814896,0.15756165981292725,0.2582939937710762,,,-0.10573684424161911,0.011408103629946709,0.11714494787156582,,,-0.08129532635211945,0.14826911687850952,0.22956444323062897,,,0.24833503365516663,0.7576562166213989,0.5093211829662323,,
15,She wanted to show the perseverance she valued. She continued practicing despite the setbacks.,She saw the practice room was still available. She continued practicing despite the setbacks.,-0.07985778152942657,0.03481867536902428,0.11467645689845085,,,-0.09524277597665787,0.0571170374751091,0.15235981345176697,,,-0.11759202927350998,0.24951821565628052,0.3671102449297905,,,0.3295438885688782,0.6308814287185669,0.3013375401496887,,
16,He aimed to embody trustworthiness in his role. He kept the confidential information private.,He noticed the document was marked classified. He kept the confidential information private.,-0.08138997852802277,0.07028480619192123,0.151674784719944,,,-0.10007067024707794,0.045278530567884445,0.1453492008149624,,,-0.08917661011219025,0.16851279139518738,0.2576894015073776,,,0.1880420446395874,0.5843795537948608,0.39633750915527344,,
17,She sought to act with the dignity she respected. She dressed professionally for the interview.,She checked the weather forecast showed mild temperatures. She dressed professionally for the interview.,-0.05064200237393379,0.13418415188789368,0.18482615426182747,,,-0.028854750096797943,0.12409332394599915,0.1529480740427971,,,-0.11182122677564621,0.18460440635681152,0.29642563313245773,,,0.24368451535701752,0.8093888163566589,0.5657043009996414,,
18,He wanted to be someone who takes responsibility. He cleaned up after the party.,He saw garbage bags in the kitchen drawer. He cleaned up after the party.,-0.03986093029379845,0.101466104388237,0.14132703468203545,,,-0.0178227461874485,0.028782304376363754,0.046605050563812256,,,-0.1318567842245102,0.2177615463733673,0.3496183305978775,,,0.20998267829418182,0.8424773216247559,0.632494643330574,,
19,She aimed to show the loyalty she cherished. She defended her friend's reputation.,She heard someone mention her friend's name. She defended her friend's reputation.,0.002262508263811469,0.12655241787433624,0.12428990961052477,,,-0.06428153812885284,0.005004270002245903,0.06928580813109875,,,-0.09919267147779465,0.18020842969417572,0.27940110117197037,,,0.5355982184410095,0.8128013014793396,0.2772030830383301,,
20,He sought to demonstrate wisdom in his choices. He researched thoroughly before investing.,He noticed the library had financial databases. He researched thoroughly before investing.,-0.03204955533146858,0.09547728300094604,0.12752683833241463,,,-0.0971655547618866,0.054392386227846146,0.15155794098973274,,,-0.07827719300985336,-0.05886687710881233,0.01941031590104103,,,0.1413639336824417,0.44524818658828735,0.30388425290584564,,
